             x2           theta           chi^2     chi^2_gamma           delta     chi^2_delta        m_T(TeV)         chi^2_K         chi^2_K       chi^2_eps         chi^2_D     chi^2_Bd_re     chi^2_Bd_im     chi^2_Bs_re     chi^2_Bs_im  chi^2_Bd_decay  chi^2_Bs_decay  chi^2_K1_decay  chi^2_K2_decay  chi^2_K3_decay       chi^2_Vud       chi^2_Vus       chi^2_Vub
      4.7400000        4.948000          440.18           23.36         0.00351           24.71           1.000           0.000           0.000          34.238           0.000           2.638          10.302           0.000           0.000           0.000          26.720           3.760           0.000           0.000          10.934           2.222         197.939
      4.7400000        4.955000          447.56           23.70         0.00345           23.77           1.000           0.000           0.000          34.678           0.000           2.599          10.302           0.000           0.000           0.000          22.246           3.883           0.000           0.000          10.741           2.072         197.661
      4.7400000        4.962000          455.65           23.99         0.00361           24.86           1.000           0.000           0.000          34.540           0.000           2.687          10.302           0.000           0.000           0.000          27.287           3.840           0.000           0.000          10.954           2.249         204.539
      4.7400000        4.969000          463.46           24.32         0.00367           24.87           1.000           0.000           0.000          34.700           0.000           2.717          10.302           0.000           0.000           0.000          27.723           3.880           0.000           0.000          10.949           2.251         207.468
      4.7400000        4.976000          471.33           24.67         0.00372           24.78           1.000           0.000           0.000          34.867           0.000           2.751          10.302           0.000           0.000           0.000          28.295           3.922           0.000           0.000          10.926           2.239         210.113
      4.7400000        4.983000          479.24           25.02         0.00377           24.88           1.000           0.000           0.000          35.024           0.000           2.776          10.302           0.000           0.000           0.000          28.556           3.962           0.000           0.000          10.942           2.257         213.370
      4.7400000        4.990000          487.20           25.38         0.00382           24.91           1.000           0.000           0.000          35.184           0.000           2.803          10.302           0.000           0.000           0.000          28.821           4.002           0.000           0.000          10.942           2.262         216.598
      4.7400000        4.997000          495.20           25.76         0.00389           24.76           1.000           0.000           0.000          35.366           0.000           2.849          10.302           0.000           0.000           0.000          29.743           4.044           0.000           0.000          10.906           2.241         218.421
      4.7400000        5.004000          503.35           26.17         0.00402           24.11           1.000           0.000           0.000          35.621           0.000           2.948          10.302           0.000           0.000           0.000          32.318           4.095           0.000           0.000          10.766           2.140         216.146
      4.7400000        5.011000          511.32           26.55         0.00401           24.66           1.000           0.000           0.000          35.707           0.000           2.919          10.302           0.000           0.000           0.000          30.744           4.126           0.000           0.000          10.874           2.228         223.788
      4.7400000        5.018000          519.45           26.95         0.00405           24.74           1.000           0.000           0.000          35.865           0.000           2.939          10.302           0.000           0.000           0.000          30.704           4.166           0.000           0.000          10.886           2.242         227.540
      4.7400000        5.025000          527.60           27.38         0.00411           24.61           1.000           0.000           0.000          36.045           0.000           2.981          10.302           0.000           0.000           0.000          31.373           4.207           0.000           0.000          10.854           2.224         229.797
      4.7400000        5.032000          535.79           27.81         0.00417           24.58           1.000           0.000           0.000          36.220           0.000           3.017          10.302           0.000           0.000           0.000          31.831           4.247           0.000           0.000          10.842           2.220         232.444
      4.7400000        5.039000          544.01           28.25         0.00422           24.48           1.000           0.000           0.000          36.398           0.000           3.053          10.302           0.000           0.000           0.000          32.288           4.288           0.000           0.000          10.816           2.206         235.058
      4.7400000        5.046000          552.26           28.71         0.00427           24.50           1.000           0.000           0.000          36.566           0.000           3.080          10.302           0.000           0.000           0.000          32.380           4.328           0.000           0.000          10.814           2.210         238.449
      4.7400000        5.053000          560.54           29.18         0.00433           24.37           1.000           0.000           0.000          36.751           0.000           3.123          10.302           0.000           0.000           0.000          33.005           4.369           0.000           0.000          10.781           2.191         240.644
      4.7405941        4.360000          100.51           30.28         0.00000            7.83           1.444           0.000           0.000          28.283           0.000           1.653          10.302           0.000           0.000           0.000           7.412           1.442           0.000           0.000           5.465           0.071           5.514
      4.7405941        4.367000          100.79           29.78         0.00000            7.86           2.818           0.000           0.000          28.263           0.000           1.653          10.302           0.000           0.000           0.000           7.334           1.451           0.000           0.000           5.536           0.057           6.181
      4.7405941        4.374000          101.13           29.29         0.00000            7.89           9.848           0.000           0.000          28.244           0.000           1.653          10.302           0.000           0.000           0.000           7.252           1.462           0.000           0.000           5.597           0.047           6.897
      4.7405941        4.381000          101.54           28.81         0.00000            7.94           1.161           0.000           0.000          28.226           0.000           1.653          10.302           0.000           0.000           0.000           7.174           1.472           0.000           0.000           5.683           0.034           7.653
      4.7405941        4.388000          102.02           28.34         0.00000            7.99           9.840           0.000           0.000          28.209           0.000           1.653          10.302           0.000           0.000           0.000           7.092           1.483           0.000           0.000           5.759           0.025           8.459
      4.7405941        4.395000          102.56           27.88         0.00000            8.05           9.193           0.000           0.000          28.195           0.000           1.653          10.302           0.000           0.000           0.000           7.007           1.494           0.000           0.000           5.834           0.017           9.314
      4.7405941        4.402000          103.18           27.44         0.00000            8.11           3.256           0.000           0.000          28.180           0.000           1.653          10.302           0.000           0.000           0.000           6.928           1.504           0.000           0.000           5.911           0.011          10.227
      4.7405941        4.409000          103.87           27.01         0.00000            8.19           2.986           0.000           0.000          28.169           0.000           1.653          10.302           0.000           0.000           0.000           6.839           1.516           0.000           0.000           5.992           0.005          11.178
      4.7405941        4.416000          104.64           26.58         0.00000            8.28           2.173           0.000           0.000          28.158           0.000           1.653          10.302           0.000           0.000           0.000           6.751           1.528           0.000           0.000           6.075           0.002          12.186
      4.7405941        4.423000          105.48           26.17         0.00001            8.38           1.364           0.000           0.000          28.150           0.000           1.653          10.302           0.000           0.000           0.000           6.660           1.540           0.000           0.000           6.166           0.000          13.239
      4.7405941        4.430000          106.40           25.77         0.00000            8.48           9.033           0.000           0.000          28.139           0.000           1.653          10.302           0.000           0.000           0.000           6.579           1.551           0.000           0.000           6.245           0.000          14.373
      4.7405941        4.437000          107.40           25.38         0.00000            8.59           3.800           0.000           0.000          28.135           0.000           1.653          10.302           0.000           0.000           0.000           6.482           1.565           0.000           0.000           6.328           0.002          15.539
      4.7405941        4.444000          108.48           25.00         0.00000            8.72           9.549           0.000           0.000          28.130           0.000           1.653          10.302           0.000           0.000           0.000           6.387           1.578           0.000           0.000           6.416           0.006          16.764
      4.7405941        4.451000          109.65           24.64         0.00000            8.86           9.976           0.000           0.000          28.126           0.000           1.653          10.302           0.000           0.000           0.000           6.298           1.591           0.000           0.000           6.505           0.011          18.059
      4.7405941        4.458000          110.90           24.28         0.00001            9.01           1.196           0.000           0.000          28.124           0.000           1.653          10.302           0.000           0.000           0.000           6.202           1.604           0.000           0.000           6.599           0.019          19.402
      4.7405941        4.465000          112.23           23.93         0.00000            9.15           4.614           0.000           0.000          28.124           0.000           1.653          10.302           0.000           0.000           0.000           6.101           1.618           0.000           0.000           6.681           0.027          20.810
      4.7405941        4.472000          113.65           23.59         0.00000            9.35           9.967           0.000           0.000          28.126           0.000           1.653          10.302           0.000           0.000           0.000           6.002           1.633           0.000           0.000           6.787           0.040          22.265
      4.7405941        4.479000          115.16           23.27         0.00024            9.48           1.000           0.000           0.000          28.152           0.000           1.660          10.302           0.000           0.000           0.000           6.220           1.651           0.000           0.000           6.854           0.050          23.554
      4.7405941        4.486000          116.74           22.96         0.00033            9.59           1.000           0.000           0.000          28.181           0.000           1.667          10.302           0.000           0.000           0.000           6.394           1.669           0.000           0.000           6.912           0.059          24.905
      4.7405941        4.493000          118.47           22.64         0.00000            9.93           9.676           0.000           0.000          28.133           0.000           1.653          10.302           0.000           0.000           0.000           5.714           1.676           0.000           0.000           7.074           0.088          27.084
      4.7405941        4.500000          120.17           22.36         0.00043            9.98           1.000           0.000           0.000          28.221           0.000           1.676          10.302           0.000           0.000           0.000           6.553           1.704           0.000           0.000           7.096           0.092          27.928
      4.7405941        4.507000          122.01           22.08         0.00049           10.18           1.000           0.000           0.000          28.254           0.000           1.683          10.302           0.000           0.000           0.000           6.761           1.723           0.000           0.000           7.186           0.111          29.389
