             x2           theta           chi^2     chi^2_gamma           delta     chi^2_delta        m_T(TeV)         chi^2_K         chi^2_K       chi^2_eps         chi^2_D     chi^2_Bd_re     chi^2_Bd_im     chi^2_Bs_re     chi^2_Bs_im  chi^2_Bd_decay  chi^2_Bs_decay  chi^2_K1_decay  chi^2_K2_decay  chi^2_K3_decay       chi^2_Vud       chi^2_Vus       chi^2_Vub
      4.6701000        0.680000          269.19           22.24         0.02815            4.12           6.636           0.000           0.000           0.000           0.000           1.529          10.323           0.000           0.000           0.000           0.000           3.400           0.000           0.000           2.145           0.239          61.904
      4.6701000        0.690000          273.96           21.73         0.02815            4.17           7.818           0.000           0.000           0.000           0.000           1.528          10.323           0.000           0.000           0.000           0.000           3.422           0.000           0.000           2.159           0.247          66.057
      4.6701000        0.700000          278.94           21.19         0.02815            4.26           2.431           0.000           0.000           0.000           0.000           1.549          10.321           0.000           0.000           0.000           0.000           3.447           0.000           0.000           2.179           0.262          70.173
      4.6701000        0.710000          284.07           20.81         0.02815            4.32           9.389           0.000           0.000           0.000           0.000           1.528          10.322           0.000           0.000           0.000           0.000           3.467           0.000           0.000           2.193           0.271          74.785
      4.6701000        0.720000          289.42           20.44         0.02816            4.41           9.828           0.000           0.000           0.000           0.000           1.528          10.322           0.000           0.000           0.000           0.000           3.488           0.000           0.000           2.215           0.287          79.505
      4.6701000        0.730000          294.95           20.06         0.02816            4.45           5.825           0.000           0.000           0.000           0.000           1.530          10.324           0.000           0.000           0.000           0.000           3.510           0.000           0.000           2.224           0.295          84.263
      4.6701000        0.740000          300.68           19.70         0.02816            4.56           3.741           0.000           0.000           0.000           0.000           1.539          10.324           0.000           0.000           0.000           0.000           3.533           0.000           0.000           2.249           0.312          89.140
      4.6701000        0.750000          306.57           19.23         0.02816            4.73           9.198           0.000           0.000           0.000           0.000           1.528          10.323           0.000           0.000           0.000           0.000           3.559           0.000           0.000           2.289           0.340          93.689
      4.6701000        0.760000          312.65           19.08         0.02816            4.69           7.019           0.000           0.000           0.000           0.000           1.528          10.325           0.000           0.000           0.000           0.000           3.578           0.000           0.000           2.277           0.334          99.372
      4.6701000        0.770000          318.92           18.90         0.02816            4.85           9.978           0.000           0.000           0.000           0.000           1.529          10.323           0.000           0.000           0.000           0.000           3.597           0.000           0.000           2.315           0.362         105.047
      4.6701000        0.780000          325.35           18.49         0.02816            5.05           6.795           0.000           0.000           0.000           0.000           1.529          10.325           0.000           0.000           0.000           0.000           3.625           0.000           0.000           2.359           0.394         109.971
      4.6701000        0.790000          331.97           18.15         0.02816            5.10           5.055           0.000           0.000           0.000           0.000           1.533          10.326           0.000           0.000           0.000           0.000           3.652           0.000           0.000           2.368           0.403         115.176
      4.6701000        0.800000          338.77           17.99         0.02816            4.90           3.782           0.000           0.000           0.000           0.000           1.539          10.325           0.000           0.000           0.000           0.000           3.674           0.000           0.000           2.319           0.371         121.126
      4.6701000        0.810000          345.71           17.83         0.02816            5.11           9.967           0.000           0.000           0.000           0.000           1.529          10.324           0.000           0.000           0.000           0.000           3.696           0.000           0.000           2.366           0.406         127.103
      4.6701000        0.820000          352.85           17.57         0.02816            5.46           5.601           0.000           0.000           0.000           0.000           1.531          10.327           0.000           0.000           0.000           0.000           3.721           0.000           0.000           2.444           0.465         132.754
      4.6701000        0.830000          360.14           17.40         0.02816            5.35           9.729           0.000           0.000           0.000           0.000           1.529          10.325           0.000           0.000           0.000           0.000           3.746           0.000           0.000           2.418           0.448         138.847
      4.6701000        0.840000          367.60           17.23         0.02816            5.35           4.676           0.000           0.000           0.000           0.000           1.534          10.327           0.000           0.000           0.000           0.000           3.771           0.000           0.000           2.416           0.449         144.950
      4.6701000        0.850000          375.22           17.07         0.02816            5.52           9.825           0.000           0.000           0.000           0.000           1.529          10.325           0.000           0.000           0.000           0.000           3.795           0.000           0.000           2.451           0.478         151.162
      4.6701000        0.860000          383.00           17.02         0.02816            5.67           9.514           0.000           0.000           0.000           0.000           1.529          10.326           0.000           0.000           0.000           0.000           3.817           0.000           0.000           2.481           0.503         157.955
      4.6701000        0.870000          390.94           16.79         0.02816            5.66           7.268           0.000           0.000           0.000           0.000           1.529          10.328           0.000           0.000           0.000           0.000           3.846           0.000           0.000           2.477           0.502         163.954
      4.6701000        0.880000          399.04           16.66         0.02816            5.77           7.651           0.000           0.000           0.000           0.000           1.528          10.328           0.000           0.000           0.000           0.000           3.872           0.000           0.000           2.499           0.521         170.433
      4.6701000        0.890000          407.29           16.64         0.02817            5.89           4.511           0.000           0.000           0.000           0.000           1.535          10.328           0.000           0.000           0.000           0.000           3.894           0.000           0.000           2.520           0.542         177.510
      4.6701000        0.900000          415.68           16.48         0.02816            5.96           9.998           0.000           0.000           0.000           0.000           1.529          10.326           0.000           0.000           0.000           0.000           3.923           0.000           0.000           2.534           0.555         183.929
      4.6701000        0.910000          424.23           16.40         0.02817            6.06           9.373           0.000           0.000           0.000           0.000           1.529          10.327           0.000           0.000           0.000           0.000           3.949           0.000           0.000           2.552           0.573         190.781
      4.6701000        0.920000          432.93           16.30         0.02817            6.18           7.862           0.000           0.000           0.000           0.000           1.528          10.329           0.000           0.000           0.000           0.000           3.977           0.000           0.000           2.574           0.594         197.514
      4.6701000        0.930000          441.79           16.53         0.02817            6.30           6.589           0.000           0.000           0.000           0.000           1.530          10.329           0.000           0.000           0.000           0.000           3.992           0.000           0.000           2.596           0.616         206.280
