             x2           theta           chi^2     chi^2_gamma           delta     chi^2_delta        m_T(TeV)         chi^2_K         chi^2_K       chi^2_eps         chi^2_D     chi^2_Bd_re     chi^2_Bd_im     chi^2_Bs_re     chi^2_Bs_im  chi^2_Bd_decay  chi^2_Bs_decay  chi^2_K1_decay  chi^2_K2_decay  chi^2_K3_decay       chi^2_Vud       chi^2_Vus       chi^2_Vub
      4.6701000        0.610000          246.40           26.71         0.00002            7.96           6.905           0.000           0.000           0.000           0.000           1.653          10.302           0.000           0.000           0.000           0.000           3.271           0.000           0.000           5.747           0.021          36.665
      4.6701000        0.620000          249.78           25.98         0.00021            7.99           6.834           0.000           0.000           0.000           0.000           1.653          10.302           0.000           0.000           0.000           0.000           3.291           0.000           0.000           5.795           0.016          39.922
      4.6701000        0.630000          253.36           25.28         0.00012            8.01           9.848           0.000           0.000           0.000           0.000           1.653          10.302           0.000           0.000           0.000           0.000           3.311           0.000           0.000           5.822           0.013          43.297
      4.6701000        0.640000          257.15           24.63         0.00018            8.04           9.508           0.000           0.000           0.000           0.000           1.653          10.302           0.000           0.000           0.000           0.000           3.331           0.000           0.000           5.853           0.011          46.827
      4.6701000        0.650000          261.14           24.06         0.00025            8.06           2.647           0.000           0.000           0.000           0.000           1.653          10.302           0.000           0.000           0.000           0.000           3.350           0.000           0.000           5.872           0.009          50.608
      4.6701000        0.660000          265.33           23.44         0.00000            8.09           9.871           0.000           0.000           0.000           0.000           1.653          10.302           0.000           0.000           0.000           0.000           3.372           0.000           0.000           5.905           0.007          54.339
      4.6701000        0.670000          269.73           22.88         0.00003            8.11           4.020           0.000           0.000           0.000           0.000           1.653          10.302           0.000           0.000           0.000           0.000           3.394           0.000           0.000           5.926           0.005          58.269
      4.6701000        0.680000          274.32           22.38             nan            8.14           2.578           0.000           0.000           0.000           0.000           1.653          10.302           0.000           0.000           0.000           0.000           3.414           0.000           0.000           5.960           0.004          62.418
      4.6701000        0.690000          279.11           21.88         0.00007            8.16           1.023           0.000           0.000           0.000           0.000           1.653          10.302           0.000           0.000           0.000           0.000           3.436           0.000           0.000           5.979           0.003          66.611
      4.6701000        0.700000          284.09           21.43         0.00049            8.20           1.128           0.000           0.000           0.000           0.000           1.653          10.302           0.000           0.000           0.000           0.000           3.457           0.000           0.000           6.013           0.001          70.995
      4.6701000        0.710000          289.26           21.00         0.00002            8.23           1.205           0.000           0.000           0.000           0.000           1.653          10.302           0.000           0.000           0.000           0.000           3.479           0.000           0.000           6.043           0.001          75.503
