             x2           theta           chi^2     chi^2_gamma           delta     chi^2_delta        m_T(TeV) 
     93.4410891        6.050000          576.03           45.29         0.03119           10.71    9.826+0.000j
     93.4410891        6.055000          580.86           43.06         0.03112           10.85    9.978+0.000j
     93.4410891        6.060000          585.66           40.78         0.03107           10.95    9.901+0.000j
     93.4410891        6.065000          590.46           38.63         0.03102           11.07    9.804+0.000j
     93.4410891        6.070000          595.23           36.51         0.03098           11.14    9.853+0.000j
     93.4410891        6.075000          599.97           34.42         0.03094           11.21    9.989+0.000j
     93.4410891        6.080000          604.70           32.41         0.03092           11.28    9.959+0.000j
     93.4410891        6.085000          609.40           30.39         0.03088           11.35    9.875+0.000j
     93.4410891        6.090000          614.08           28.55         0.03086           11.40    9.906+0.000j
     93.4410891        6.095000          618.74           26.71         0.03083           11.46    9.713+0.000j
     93.4410891        6.100000          623.37           24.95         0.03081           11.48    9.964+0.000j
     93.4410891        6.105000          627.98           23.25         0.03080           11.54    9.586+0.000j
     93.4410891        6.110000          632.56           21.61         0.03079           11.55    9.882+0.000j
     93.4410891        6.115000          637.12           20.05         0.03076           11.59    9.459+0.000j
     93.4410891        6.120000          641.66           18.54         0.03079           11.55    9.603+0.000j
     93.4410891        6.125000          646.17           17.11         0.03077           11.55    9.972+0.000j
     93.4410891        6.130000          650.67           15.72         0.03075           11.56    9.876+0.000j
     93.4410891        6.135000          655.14           14.44         0.03077           11.54    9.997+0.000j
     93.4410891        6.140000          659.60           13.20         0.03077           11.54    9.984+0.000j
     93.4410891        6.145000          664.03           12.03         0.03080           11.48    9.984+0.000j
     93.4410891        6.150000          668.46           10.93         0.03081           11.44    9.942+0.000j
     93.4410891        6.155000          672.86            9.89         0.03082           11.40    9.968+0.000j
     93.4410891        6.160000          677.26            8.91         0.03084           11.34    9.831+0.000j
     93.4410891        6.165000          681.64            7.99         0.03087           11.28    9.763+0.000j
     93.4410891        6.170000          686.01            7.15         0.03090           11.24    9.961+0.000j
     93.4410891        6.175000          690.38            6.34         0.03092           11.15    9.920+0.000j
     93.4410891        6.180000          694.74            5.60         0.03096           11.07    9.980+0.000j
     93.4410891        6.185000          699.10            4.91         0.03102           10.97    9.767+0.000j
     93.4410891        6.190000          703.45            4.29         0.03105           10.87    9.800+0.000j
     93.4410891        6.195000          707.81            3.71         0.03108           10.77    9.733+0.000j
     93.4421782        5.700000          335.35           42.17         0.03702            1.15    9.996+0.000j
     93.4421782        5.705000          335.71           43.15         0.03695            1.20    9.947+0.000j
     93.4421782        5.710000          336.16           44.16         0.03688            1.26    8.592+0.000j
     93.4421782        5.715000          336.67           45.16         0.03683            1.32    9.874+0.000j
     93.4421782        5.720000          337.27           46.23         0.03676            1.39    9.943+0.000j
     93.4421782        5.725000          337.94           47.26         0.03668            1.46    9.458+0.000j
     93.4421782        5.730000          338.69           48.31         0.03663            1.53    9.970+0.000j
     93.4421782        5.735000          339.52           49.33         0.03655            1.59    9.473+0.000j
     93.4421782        5.740000          340.43           50.39         0.03650            1.67    9.981+0.000j
     93.4421782        5.745000          341.41           51.46         0.03643            1.74    9.791+0.000j
     93.4421782        5.750000          342.48           52.51         0.03636            1.82    9.710+0.000j
     93.4421782        5.755000          343.62           53.56         0.03629            1.89    9.945+0.000j
     93.4421782        5.760000          344.84           54.65         0.03623            1.97    9.673+0.000j
     93.4421782        5.765000          346.15           55.71         0.03616            2.05    9.985+0.000j
     93.4421782        5.770000          347.53           56.79         0.03609            2.14    9.428+0.000j
     93.4421782        5.775000          349.00           57.86         0.03602            2.23    9.801+0.000j
     93.4421782        5.780000          350.55           58.94         0.03594            2.30    9.904+0.000j
     93.4421782        5.785000          352.18           59.99         0.03589            2.40    9.968+0.000j
     93.4421782        5.790000          353.90           61.04         0.03580            2.49    9.981+0.000j
