             x2           theta           chi^2     chi^2_gamma           delta     chi^2_delta        m_T(TeV) 
      4.7259901        4.756000          342.73           38.95         0.00468           15.32   10.000+0.000j
      4.7259901        4.768000          350.40           39.06         0.00477           15.46   10.000+0.000j
      4.7259901        4.780000          358.22           39.21         0.00486           15.56   10.000+0.000j
      4.7259901        4.792000          366.19           39.38         0.00496           15.66   10.000+0.000j
      4.7259901        4.804000          374.31           39.58         0.00505           15.76   10.000+0.000j
      4.7259901        4.816000          382.57           39.81         0.00515           15.84   10.000+0.000j
      4.7259901        4.828000          390.97           40.07         0.00524           15.92   10.000+0.000j
      4.7259901        4.840000          399.49           40.36         0.00534           15.97   10.000+0.000j
      4.7259901        4.852000          408.15           40.68         0.00544           16.04   10.000+0.000j
      4.7259901        4.864000          416.92           41.03         0.00553           16.07   10.000+0.000j
      4.7259901        4.876000          425.82           41.40         0.00564           16.10   10.000+0.000j
      4.7259901        4.888000          434.82           41.81         0.00574           16.12   10.000+0.000j
      4.7259901        4.900000          443.94           42.26         0.00584           16.13   10.000+0.000j
      4.7259901        4.912000          453.15           42.72         0.00594           16.16    9.999+0.000j
      4.7259901        4.924000          462.46           43.23         0.00604           16.12   10.000+0.000j
      4.7259901        4.936000          471.87           43.76         0.00615           16.10   10.000+0.000j
      4.7259901        4.948000          481.36           44.33         0.00625           16.06   10.000+0.000j
      4.7259901        4.960000          490.93           44.93         0.00636           16.02   10.000+0.000j
      4.7259901        4.972000          500.57           45.56         0.00646           15.94   10.000+0.000j
      4.7259901        4.984000          510.29           46.22         0.00657           15.90   10.000+0.000j
      4.7259901        4.996000          520.07           46.91         0.00668           15.84   10.000+0.000j
      4.7259901        5.008000          529.91           47.64         0.00678           15.77   10.000+0.000j
      4.7259901        5.020000          539.80           48.40         0.00689           15.68    9.998+0.000j
      4.7259901        5.032000          549.74           49.19         0.00700           15.61   10.000+0.000j
      4.7259901        5.044000          559.73           50.01         0.00711           15.49   10.000+0.000j
      4.7259901        5.056000          569.75           50.88         0.00721           15.39   10.000+0.000j
      4.7259901        5.068000          579.81           51.77         0.00732           15.29    9.999+0.000j
      4.7259901        5.080000          589.89           52.70         0.00743           15.16   10.000+0.000j
      4.7259901        5.092000          600.00           53.66         0.00754           15.04   10.000+0.000j
      4.7259901        5.104000          610.12           54.66         0.00765           14.92   10.000+0.000j
      4.7259901        5.116000          620.26           55.70         0.00776           14.79    9.999+0.000j
      4.7259901        5.128000          630.41           56.76         0.00787           14.66   10.000+0.000j
      4.7259901        5.140000          640.57           57.87         0.00798           14.53   10.000+0.000j
      4.7259901        5.152000          650.72           59.01         0.00809           14.39   10.000+0.000j
      4.7259901        5.164000          660.87           60.19         0.00820           14.23   10.000+0.000j
      4.7259901        5.176000          671.01           61.41         0.00831           14.09   10.000+0.000j
      4.7259901        5.188000          681.15           62.66         0.00842           13.95    9.999+0.000j
      4.7269802        4.000000          183.01           94.24         0.00130            8.00    9.996+0.000j
      4.7269802        4.012000          181.27           92.20         0.00132            7.96    9.955+0.000j
      4.7269802        4.024000          179.62           90.20         0.00134            7.92    9.995+0.000j
      4.7269802        4.036000          178.05           88.24         0.00137            7.89    9.994+0.000j
      4.7269802        4.048000          176.57           86.32         0.00139            7.86    9.998+0.000j
