             x2           theta           chi^2     chi^2_gamma           delta     chi^2_delta        m_T(TeV)         chi^2_K         chi^2_K       chi^2_eps         chi^2_D     chi^2_Bd_re     chi^2_Bd_im     chi^2_Bs_re     chi^2_Bs_im  chi^2_Bd_decay  chi^2_Bs_decay  chi^2_K1_decay  chi^2_K2_decay  chi^2_K3_decay
     93.4300000        5.936000          880.24          227.45         0.02807            9.69           8.310           0.000           0.000          12.407           0.000           1.653          10.302           0.000           0.000           0.000          25.386           4.383           0.000           0.000
     93.4300000        5.942000          888.44          230.57         0.02805            9.78           4.179           0.000           0.000          12.892           0.000           1.653          10.302           0.000           0.000           0.000          25.406           4.393           0.000           0.000
     93.4300000        5.948000          896.85          232.96         0.02806           10.07           9.177           0.000           0.000          13.424           0.000           1.653          10.302           0.000           0.000           0.000          25.430           4.403           0.000           0.000
     93.4300000        5.954000          905.45          235.07         0.02807           10.28           1.381           0.000           0.000          13.953           0.000           1.654          10.302           0.000           0.000           0.000          25.456           4.420           0.000           0.000
     93.4300000        5.960000          914.26          236.88         0.02806           10.53           3.616           0.000           0.000          14.530           0.000           1.653          10.302           0.000           0.000           0.000          25.482           4.433           0.000           0.000
     93.4300000        5.966000          923.27          235.41         0.02807           10.40           1.694           0.000           0.000          15.191           0.000           1.654          10.302           0.000           0.000           0.000          25.523           4.461           0.000           0.000
     93.4300000        5.972000          932.46          238.13         0.02807           11.04           1.856           0.000           0.000          15.758           0.000           1.654          10.302           0.000           0.000           0.000          25.544           4.471           0.000           0.000
     93.4300000        5.978000          941.85          237.21         0.02789           11.46           1.389           0.000           0.000          16.428           0.000           1.654          10.302           0.000           0.000           0.000          25.581           4.495           0.000           0.000
     93.4300000        5.984000          951.39          234.56         0.02806           11.69           5.461           0.000           0.000          17.167           0.000           1.653          10.302           0.000           0.000           0.000          25.622           4.521           0.000           0.000
     93.4300000        5.990000          961.09          230.18         0.02805           12.61           1.579           0.000           0.000          17.924           0.000           1.654          10.302           0.000           0.000           0.000          25.667           4.557           0.000           0.000
     93.4300000        5.996000          970.89          222.56         0.02805           12.56           8.405           0.000           0.000          18.795           0.000           1.653          10.302           0.000           0.000           0.000          25.728           4.596           0.000           0.000
     93.4300000        6.002000          980.75          211.40         0.02793           13.17           1.299           0.000           0.000          19.708           0.000           1.655          10.302           0.000           0.000           0.000          25.797           4.651           0.000           0.000
     93.4300000        6.008000          990.58          198.57         0.02805           13.67           8.255           0.000           0.000          20.688           0.000           1.653          10.302           0.000           0.000           0.000          25.870           4.700           0.000           0.000
     93.4300000        6.014000         1000.30          181.66         0.02796           14.27           6.313           0.000           0.000          21.725           0.000           1.653          10.302           0.000           0.000           0.000          25.956           4.762           0.000           0.000
     93.4300000        6.020000         1009.85          165.21         0.02805           14.68           7.269           0.000           0.000          22.745           0.000           1.653          10.302           0.000           0.000           0.000          26.039           4.818           0.000           0.000
     93.4300000        6.026000         1019.20          150.22         0.02802           15.12           9.663           0.000           0.000          23.724           0.000           1.653          10.302           0.000           0.000           0.000          26.114           4.868           0.000           0.000
     93.4300000        6.032000         1028.32          136.74         0.02783           15.54           2.839           0.000           0.000          24.648           0.000           1.653          10.302           0.000           0.000           0.000          26.182           4.914           0.000           0.000
